PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
FL0000035,212290,Other Metal Ore Mining,1099,Metal Ores
FL0000043,111310,Orange Groves,0174,Citrus Fruits
FL0000051,212290,Other Metal Ore Mining,1099,Metal Ores
FL0000078,325312,Phosphatic Fertilizer Manufacturing,2874,Phosphatic Fertilizers
FL0000124,325312,Phosphatic Fertilizer Manufacturing,2874,Phosphatic Fertilizers
FL0000132,221111,Hydroelectric Power Generation,4911,Electric Services
FL0000159,221111,Hydroelectric Power Generation,4911,Electric Services
FL0000183,221111,Hydroelectric Power Generation,4911,Electric Services
FL0000221,,,2491,Wood Preserving
FL0000230,,,1475,Phosphate Rock
FL0000256,,,1475,Phosphate Rock
FL0000264,424690,Other Chemical and Allied Products Merchant Wholesalers,5169,Chemicals & Allied Products
FL0000281,322130,Paperboard Mills,2631,Paperboard Mills
FL0000299,,,1475,Phosphate Rock
FL0000370,325312,Phosphatic Fertilizer Manufacturing,2874,Phosphatic Fertilizers
FL0000400,322120,Paper Mills ,2621,Paper Mills
FL0000477,111310,Orange Groves,0174,Citrus Fruits
FL0000523,493110,General Warehousing and Storage,4226,Special Warehousing And Storage
FL0000582,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
FL0000591,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
FL0000647,325311,Nitrogenous Fertilizer Manufacturing,2873,Nitrogenous Fertilizers
FL0000655,212390,Other Nonmetallic Mineral Mining and Quarrying ,1475,Phosphate Rock
FL0000671,325312,Phosphatic Fertilizer Manufacturing,2874,Phosphatic Fertilizers
FL0000680,221111,Hydroelectric Power Generation,4911,Electric Services
FL0000701,322110,Pulp Mills,2611,Pulp Mills
FL0000752,325312,Phosphatic Fertilizer Manufacturing,2874,Phosphatic Fertilizers
FL0000761,325312,Phosphatic Fertilizer Manufacturing,2874,Phosphatic Fertilizers
FL0000809,221111,Hydroelectric Power Generation,4911,Electric Services
FL0000817,221111,Hydroelectric Power Generation,4911,Electric Services
FL0000876,322110,Pulp Mills,2611,Pulp Mills
FL0000884,,,2869,Industrial Organic Chemicals
FL0000922,221320,Sewage Treatment Facilities,4952,Sewerage Systems
FL0000957,221320,Sewage Treatment Facilities,4952,Sewerage Systems
FL0001031,221111,Hydroelectric Power Generation,4911,Electric Services
FL0001040,,,2869,Industrial Organic Chemicals
FL0001104,322130,Paperboard Mills,2631,Paperboard Mills
FL0001198,,,1475,Phosphate Rock
FL0001287,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
FL0001295,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
FL0001350,424710,Petroleum Bulk Stations and Terminals,5171,Petroleum Bulk Stations & Terminals
FL0001465,311615,Poultry Processing,2015,Poultry Slaughtering And Processing
FL0001473,221111,Hydroelectric Power Generation,4911,Electric Services
FL0001481,,,4911,Electric Services
FL0001490,221111,Hydroelectric Power Generation,4911,Electric Services
FL0001503,221111,Hydroelectric Power Generation,4911,Electric Services
FL0001538,221111,Hydroelectric Power Generation,4911,Electric Services
